ID,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
65,0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33,393.24
408,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,332.09,27.9,,12.13
146,2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,27.8,13.8,172.91
451,6.71772,0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,17.44,13.4,0.32
221,0.35809,0,6.2,1,0.507,6.951,88.5,2.8617,8,307,17.4,9.71,26.7,391.7
3,0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8,4.03,34.7,392.83
384,7.99248,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,24.56,12.3,396.9
320,0.47547,0,9.9,0,0.544,6.113,58.8,4.0019,4,304,18.4,12.73,21,396.23
114,0.22212,0,10.01,0,0.547,6.092,95.4,2.548,6,432,17.8,17.09,18.7,396.9
344,0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,7.18,23.9,396.9
336,0.03961,0,5.19,0,0.515,6.037,34.5,5.9853,5,224,20.2,8.01,21.1,396.9
346,0.03113,0,4.39,0,0.442,6.014,48.5,8.0136,3,352,18.8,10.53,17.5,385.64
423,0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,291.55,20.8,,14.1
165,2.24236,0,19.58,0,0.605,5.854,91.8,2.422,5,403,14.7,11.64,22.7,395.11
339,0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,8.51,20.6,396.14
75,0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,6.78,24.1,394.92
190,0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,5.39,34.9,396.9
269,0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,3.16,43.5,390.3
41,0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98,34.9,395.62
148,2.36862,0,19.58,0,0.871,4.926,95.7,1.4608,5,403,14.7,29.53,14.6,391.71
267,0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,14.79,30.7,384.07
12,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2,13.27,18.9,396.9
485,2.37857,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,13.34,20.6,370.73
439,0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,8.4,,34.02
38,0.08014,0,5.96,0,0.499,5.85,41.5,3.9342,5,279,19.2,8.77,21,396.9
307,0.07503,33,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,6.47,33.4,396.9
101,0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,9.42,27.5,394.76
179,0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,6.92,29.9,391.27
21,1.25179,0,8.14,0,0.538,5.57,98.1,3.7979,4,307,21,21.02,13.6,376.57
266,0.76162,20,3.97,0,0.647,5.56,62.8,1.9865,5,264,13,10.45,22.8,392.4
286,0.01096,55,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,8.23,22,394.72
15,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,10.26,18.2,380.02
319,0.40202,0,9.9,0,0.544,6.382,67.2,3.5325,4,304,18.4,10.36,23.1,395.21
422,7.02259,0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,15.7,14.2,319.98
25,0.75026,0,8.14,0,0.538,5.924,94.1,4.3996,4,307,21,16.3,15.6,394.33
73,0.09164,0,10.81,0,0.413,6.065,7.8,5.2873,4,305,19.2,5.52,22.8,390.91
17,1.05393,0,8.14,0,0.538,5.935,29.3,4.4986,4,307,21,6.58,23.1,386.85
227,0.38214,0,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,3.13,37.6,387.38
43,0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81,25.3,383.37
290,0.04297,52.5,5.32,0,0.405,6.565,22.9,7.3172,6,293,16.6,9.51,24.8,371.72
228,0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,6.36,31.6,372.08
254,0.36894,22,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,3.54,42.8,396.9
488,4.83567,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,11.45,20.6,388.22
324,0.28392,0,7.38,0,0.493,5.708,74.3,4.7211,5,287,19.6,11.74,18.5,391.13
494,0.17331,0,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,12.01,21.8,396.9
232,0.46296,0,6.2,0,0.504,7.412,76.9,3.6715,8,307,17.4,5.25,31.7,376.14
111,0.10793,0,8.56,0,0.52,6.195,54.4,2.7778,5,384,20.9,13,21.7,393.49
99,0.08187,0,2.89,0,0.445,7.82,36.9,3.4952,2,276,18,3.57,43.8,393.53
46,0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,10.21,19.3,396.9
77,0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,11.97,20,373.66
159,1.34284,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,6.43,24.3,353.89
201,0.01778,95,1.47,0,0.403,7.135,13.9,7.6534,3,402,17,4.45,32.9,384.3
371,6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50,392.05
168,1.80028,0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,12.14,23.8,227.61
133,0.59005,0,21.89,0,0.624,6.372,97.9,2.3274,4,437,21.2,11.12,23,385.76
317,0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33,17.8,390.7
110,0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4,391.23
55,0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,18.9,396.9
181,0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,7.56,39.8,395.56
100,0.0686,0,2.89,0,0.445,7.416,62.5,3.4952,2,276,18,6.19,33.2,396.9
149,2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,28.32,17.8,356.99
13,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,15.71,21.7,390.5
310,0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97,20.3,396.24
464,5.82115,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,10.29,20.2,393.82
176,0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,5.33,29.4,390.96
441,0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,10.5,,22.11
202,0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,7.43,24.1,393.77
361,4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79,25,374.56
444,9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,18.85,15.4,386.73
216,0.19802,0,10.59,0,0.489,6.182,42.4,3.9454,4,277,18.6,9.47,25,393.63
93,0.04203,28,15.04,0,0.464,6.442,53.6,3.6659,4,270,18.2,8.16,22.9,395.01
358,3.8497,0,18.1,1,0.77,6.395,91,2.5052,24,666,20.2,13.27,21.7,391.34
489,0.15086,0,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,18.06,15.2,395.09
460,6.80117,0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,14.7,20,396.9
442,9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,19.52,17.1,385.96
369,4.89822,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,3.26,50,375.52
128,0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,17.19,16.2,392.11
193,0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,2.87,36.4,390.49
395,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,396.9,12.7,,16.35
131,0.34006,0,21.89,0,0.624,6.458,98.9,2.1185,4,437,21.2,12.6,19.2,395.04
292,0.07886,80,4.95,0,0.411,7.148,27.7,5.1167,4,245,19.2,3.56,37.3,396.9
49,0.25387,0,6.91,0,0.448,5.399,95.3,5.87,3,233,17.9,30.81,14.4,396.9
390,8.15174,0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,20.85,11.5,396.9
81,0.04113,25,4.86,0,0.426,6.727,33.5,5.4007,4,281,19,5.29,28,396.9
97,0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,21.4,391.83
356,0.10659,80,1.91,0,0.413,5.936,19.5,10.5857,4,334,22,5.57,20.6,376.04
109,0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,19.8,395.24
338,0.03041,0,5.19,0,0.515,5.895,59.6,5.615,5,224,20.2,10.56,18.5,394.81
498,0.26838,0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,14.1,18.3,396.9
299,0.06466,70,2.24,0,0.4,6.345,20.1,7.8278,5,358,14.8,4.97,22.5,368.24
421,0,18.1,0,0.718,6.411,100,1.8589,24,666,20.2,318.75,16.7,,15.02
332,0.05023,35,6.06,0,0.4379,5.706,28.4,6.6407,1,304,16.9,12.43,17.1,394.02
26,0.84054,0,8.14,0,0.538,5.599,85.7,4.4546,4,307,21,16.51,13.9,303.42
264,0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,11.25,31,393.42
252,0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,3.59,24.8,377.07
303,0.09266,34,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,8.67,26.4,383.61
137,0.32264,0,21.89,0,0.624,5.942,93.5,1.9669,4,437,21.2,16.9,17.4,378.25
184,0.10008,0,2.46,0,0.488,6.563,95.6,2.847,3,193,17.8,5.68,32.5,396.9
234,0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95,48.3,378.95
78,0.08707,0,12.83,0,0.437,6.14,45.8,4.0905,5,398,18.7,10.27,20.8,386.96
253,0.08221,22,5.86,0,0.431,6.957,6.8,8.9067,7,330,19.1,3.53,29.6,386.09
1,0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3,4.98,24,396.9
327,0.30347,0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,6.15,23,396.9
191,0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,5.1,37,377.68
416,0,18.1,0,0.679,6.434,100,1.8347,24,666,20.2,27.25,7.2,,29.05
89,0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,5.5,23.6,396.9
278,0.06127,40,6.41,1,0.447,6.826,27.6,4.8628,4,254,17.6,4.16,33.1,393.45
315,0.3692,0,9.9,0,0.544,6.567,87.3,3.6023,4,304,18.4,9.28,23.8,395.69
397,5.87205,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,19.37,12.5,396.9
84,0.03551,25,4.86,0,0.426,6.167,46.7,5.4007,4,281,19,7.51,22.9,390.64
42,0.12744,0,6.91,0,0.448,6.77,2.9,5.7209,3,233,17.9,4.84,26.6,385.41
50,0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,16.2,19.4,396.9
40,0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32,30.8,395.63
90,0.05302,0,3.41,0,0.489,7.079,63.1,3.4145,2,270,17.8,5.7,28.7,396.06
312,0.79041,0,9.9,0,0.544,6.122,52.8,2.6403,4,304,18.4,5.98,22.1,396.9
363,3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,10.19,20.8,380.79
473,3.56868,0,18.1,0,0.58,6.437,75,2.8965,24,666,20.2,14.36,23.2,393.37
469,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,368.74,19.1,,18.13
283,0.06129,20,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,3.01,46,377.07
479,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,379.7,14.6,,18.03
256,0.03548,80,3.64,0,0.392,5.876,19.1,9.2203,1,315,16.4,9.25,20.9,395.18
102,0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67,26.5,395.58
348,0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,6.36,23.1,392.43
467,3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,17.15,19,22.01
318,0.24522,0,9.9,0,0.544,5.782,71.7,4.0317,4,304,18.4,15.94,19.8,396.9
281,0.03578,20,3.33,0,0.4429,7.82,64.5,4.6947,5,216,14.9,3.76,45.4,387.31
147,2.15505,0,19.58,0,0.871,5.628,100,1.5166,5,403,14.7,16.65,15.6,169.27
173,0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69,23.1,396.9
37,0.09744,0,5.96,0,0.499,5.841,61.4,3.3779,5,279,19.2,11.41,20,377.56
104,0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,13.44,19.3,394.47
447,6.28807,0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,17.79,14.9,318.01
139,0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,21.32,13.3,392.04
47,0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,14.15,20,396.9
258,0.61154,20,3.97,0,0.647,8.704,86.9,1.801,5,264,13,5.12,50,389.7
241,0.11329,30,4.93,0,0.428,6.897,54.3,6.3361,6,300,16.6,11.38,22,391.25
334,0.05083,0,5.19,0,0.515,6.316,38.1,6.4584,5,224,20.2,5.68,22.2,389.71
259,0.66351,20,3.97,0,0.647,7.333,100,1.8946,5,264,13,7.79,36,383.29
95,0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59,20.6,396.9
359,5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,11.48,22.7,395.43
33,1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21,27.71,13.2,232.6
466,3.1636,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,14.13,19.9,334.4
23,1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,18.72,15.2,396.9
105,0.1396,0,8.56,0,0.52,6.167,90,2.421,5,384,20.9,12.33,20.1,392.69
366,4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12,27.5,354.7
452,5.44114,0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,17.73,15.2,355.29
450,7.52601,0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,19.31,13,304.21
125,0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,17.58,18.8,379.38
411,0,18.1,0,0.597,5.757,100,1.413,24,666,20.2,2.6,15,,10.11
287,0.01965,80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,12.93,20.1,341.6
448,9.92485,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,16.44,12.6,388.52
223,0.62356,0,6.2,1,0.507,6.879,77.7,3.2721,8,307,17.4,9.93,27.5,390.39
297,0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,7.39,27.1,392.85
323,0.35114,0,7.38,0,0.493,6.041,49.9,4.7211,5,287,19.6,7.7,20.4,396.9
478,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,349.48,12,,24.91
271,0.29916,20,6.96,0,0.464,5.856,42.1,4.429,3,223,18.6,13,21.1,388.65
143,3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,26.82,13.4,396.9
308,0.04932,33,2.18,0,0.472,6.849,70.3,3.1827,7,222,18.4,7.53,28.2,396.9
440,9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8,396.9
112,0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,10.16,22.8,395.59
188,0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,6.68,32,393.87
58,0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,3.95,31.6,392.9
425,8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,17.16,11.7,3.65
285,0.00906,90,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,7.85,32.2,394.72
122,0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,20.3,377.67
367,3.69695,0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,14,21.9,316.03
80,0.08387,0,12.83,0,0.437,5.874,36.6,4.5026,5,398,18.7,9.1,20.3,396.06
277,0.10469,40,6.41,1,0.447,7.267,49,4.7872,4,254,17.6,6.05,33.2,389.25
108,0.13117,0,8.56,0,0.52,6.127,85.2,2.1224,5,384,20.9,14.09,20.4,387.69
289,0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,7.6,22.3,396.9
92,0.03932,0,3.41,0,0.489,6.405,73.9,3.0921,2,270,17.8,8.2,22,393.55
360,4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,12.67,22.6,390.74
52,0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,9.43,20.5,393.97
388,0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,396.9,7.4,,31.99
321,0.1676,0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,7.2,23.8,396.9
432,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,81.33,14.1,,19.69
480,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,383.32,21.4,,13.11
124,0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,17.3,370.31
194,0.02187,60,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,5.03,31.1,393.37
268,0.57834,20,3.97,0,0.575,8.297,67,2.4216,5,264,13,7.44,50,384.54
446,0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,43.06,11.8,,23.98
347,0.06162,0,4.39,0,0.442,5.898,52.3,8.0136,3,352,18.8,12.67,17.2,364.61
67,0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,19.4,396.9
378,9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24,13.3,396.9
402,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,396.9,7.2,,20.32
409,7.40389,0,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,26.4,17.2,314.64
231,0.537,0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,11.65,24.3,378.35
244,0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,5.19,23.7,374.71
214,0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,9.38,28.1,385.81
248,0.19657,22,5.86,0,0.431,6.226,79.2,8.0555,7,330,19.1,10.15,20.5,376.14
337,0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,9.8,19.5,396.9
